cca_name,is_cca,is_incumbent_utility,state,counties_included,counties_excluded,cities_included,cities_excluded,zipcodes_included,zipcodes_excluded,signup_link
Marin Clean Energy,TRUE,FALSE,CA,"[""Marin County"",""Napa County"",""Solano County"",""Contra Costa County""]",,"[""Concord"", ""Danville"", ""El Cerrito"", ""Hercules"", ""Lafayette"", ""Martinez"", ""Moraga"", ""Oakley"", ""Pinole"", ""Pittsburg"", ""Pleasant Hill"", ""Richmond"", ""San Pablo"", ""San Ramon"", ""Unincorporated Contra Costa"", ""Walnut Creek"", ""Belvedere"", ""Corte Madera"", ""Fairfaxx"", ""Larkspur"", ""Mill Valley"", ""Novato"", ""Ross"", ""San Anselmo"", ""San Rafael"", ""Sausalito"", ""Tiburon"", ""Unincorporated Marin"", ""American Canyon"", ""Calistoga"", ""Napa"", ""St. Helena"", ""Unincorporated Napa"", ""Yountville"", ""Benicia"", ""Fairfield"", ""Unincorporated Solano"", ""Vallejo""]",,,,https://mcecleanenergy.org/choose-light-green/
Silicon Valley Clean Energy,TRUE,FALSE,CA,,,"[""Mountain View"",""Sunnyvale"",""Los Altos"",""Milpitas"",""Campbell"",""Los Altos Hills"", Cupertino"", ""Saratoga"",""Monte Sereno"", ""Los Gatos"", ""Morgan Hill"", ""Gilroy"", ""Unencorported Santa Clara County""]",,,,https://svcleanenergy.org/re-enroll/
Apple Valley Choice Energy,TRUE,FALSE,CA,,,[Apple Valley],,,,https://avchoiceenergy.com/opt-up/
Ava Community Energy,TRUE,FALSE,CA,"[¨Alameda County¨,¨San Joaquin County¨]",,,"[Escalon, Lodi, Manteca, Mountain House, Ripon]",,,https://avaenergy.org/your-energy-options/plans-and-rates/change-your-plan/
Central Coast Community Energy,TRUE,FALSE,CA,"[Santa Cruz County, San Benito County, Monterey County, San Luis Obispo County, Santa Barbara County]",,,"[King City, Lompoc, Santa Barbara]",,,
Clean Energy Alliance,TRUE,FALSE,CA,,,"[Carlsbad, Del Mar, Escondido, Oceanside, Solana Beach, San Marcos, Vista]",,,,https://thecleanenergyalliance.org/return-to-cea/
Clean Power Alliance,TRUE,FALSE,CA,,,"[""Agoura Hills"", ""Alhambra"", ""Arcadia"", ""Beverly Hills"", ""Calabasas"", ""Camarillo"", ""Carson"", ""Claremont"", ""Culver City"", ""Downey"", ""Hawaiian Gardens"", ""Hawthorne"", ""Hermosa Beach"", ""Malibu"", ""Manhattan Beach"", ""Monrovia"", ""Moorpark"", ""Ojai"", ""Oxnard"", ""Paramount"", ""Redondo Beach"", ""Rolling Hills Estates"", ""Santa Monica"", ""Santa Paula"", ""Sierra Madre"", ""Simi Valley"", ""South Pasadena"", ""San Pelskdffssf"",""Temple City"", ""Thousand Oaks"", ""Unincorporated Los Angeles County"", ""Unincorporated Ventura County"", ""Ventura"", ""West Hollywood"", ""Westlake Village"", ""Whittier"", ""La Cañada Flintridge"", ""Lynwood"", ""Port Hueneme""]",,,,
CleanPowerSF,TRUE,FALSE,CA,,,San Francisco,,,,https://www.cleanpowersf.org/enroll
Desert Community Energy,TRUE,FALSE,CA,,,[Palm Springs and Palm Desert],,,,
Energy for Palmdale’s Independent Choice,TRUE,FALSE,CA,,,[Palmdale],,,,https://palmdaleepicenergy.com/your-options/re-enroll-in-epic/
